grocery	,go to grocery store
food	,go to grocery store
milk	,go to grocery store
cheese	,go to grocery store
eggs	,go to grocery store
deli	,go to grocery store
beef	,go to grocery store
ground beef	,go to grocery store
turkey	,go to grocery store
AA batteries	,go to department store
AAA batteries	,go to department store
C Battery	,go to department store
D Battery	,go to department store
tv	,go to department store
cell phone	,go to department store
phone	,go to department store
radio	,go to department store
pet food	,go to pet store
cat nip	,go to pet store
batteries	,go to department store
chicken	,go to grocery store
groceries	,go to grocery store
ice cream	,go to grocery store
bread	,go to grocery store
ketchup	,go to grocery store
mustard	,go to grocery store
towel	,go to department store
bath towel	,go to department store
toothbrush	,go to department store
bowl	,go to department store
plastic cup	,go to department store
cup	,go to department store
collar	,go to pet store
leash	,go to pet store
calculator	,go to department store
disposable cup	,go to department store
trashbag	,go to department store
cash	,go to bank
cream	,go to grocery store
oil change	,go to mechanic
haircut	,go to barber
deposit	,go to bank
withdrawal	,go to bank
brake	,go to mechanic
pedicure	,go to salon
manicure	,go to salon
glasses	,go to optometrist
teeth cleaning	,go to dentist
checkup	,go to doctor
contact lenses	,go to optometrist
prescription	,go to pharmacy
rotate tires	,go to mechanic
airport	,go to airport
flight	,go to airport
arrival	,go to airport
departure	,go to airport
stamps	,go to post office
package	,go to post office
buy stamps	,go to post office
mail	,go to post office
doctor	,go to doctor
hospital	,go to hospital
er	,go to emergency room
reading glasses	,go to department store
hair permed	,go to salon
train	,go to train station
home	,go home
parents house	,go to parents' house
grandparent's house	,go to grandparent's house
aunt's house	,go to aunt's house
uncle's house	,go to uncle's house
aunt	,go to aunt's house
uncle	,go to uncle's house
grandparents	,go to grandparents' house
parents	,go to parents' house
job	,go to work
work	,go to work
career	,go to work
cousin	,go to cousin's house
